time,high
1240,10.33
1241,10.327
1242,10.33
1243,10.342
1244,10.376
1245,10.446
1246,10.513
1247,10.55
1248,10.626
1249,10.675
1250,10.647
1251,10.559
1252,10.382
1253,10.223
1254,10.144
1255,9.903
1256,9.695
1257,9.592
1258,9.18
1259,8.99
1260,8.926
1261,8.893
1262,8.899
1263,8.822
1264,8.935
1265,8.984
1266,8.963
1267,8.777
1268,8.575
1269,8.432
1270,8.111
1271,8.044
1272,8.096
1273,8.157
1274,8.081
1275,7.992
1276,7.901
1277,7.773
1278,7.623
1279,7.44
1280,7.211
1281,7.025
1282,6.836
1283,6.814
1284,6.891
1285,6.784
1286,6.705
1287,6.705
1288,6.64
1289,6.585
1290,6.515
1291,6.494
1292,6.393
1293,6.25
1294,6.039
1295,6.018
1296,5.981
1297,5.972
1298,5.984
1299,6.039
1300,6.088
1301,6.097
1302,6.195
1303,6.408
1304,6.619
1305,6.692
1306,6.823
1307,6.848
1308,6.915
1309,7.153
1310,7.281
1311,7.455
1312,7.596
1313,7.663
1314,7.69
1315,7.769
1316,7.794
1317,7.818
1318,8.001
1319,8.148
1320,8.203
1321,8.084
1322,8.313
1323,8.417
1324,8.23
1325,8.243
1326,8.285
1327,8.407
1328,8.475
1329,8.575
1330,8.746
1331,8.862
1332,8.883
1333,8.963
1334,9.054
1335,9.21
1336,9.457
1337,9.683
1338,9.833
1339,10.007
1340,10.159
1341,10.269
1342,10.37
1343,10.4
1344,10.452
1345,10.66
1346,10.925
1347,11.13
1348,11.346
1349,11.548
1350,11.706
1351,11.862
1352,12.03
1353,12.137
1354,12.176
1355,12.317
1356,12.546
1357,12.723
1358,12.9
1359,13.055
1360,13.177
1361,13.263
1362,13.354
1363,13.354
1364,13.315
1365,13.19
1366,13.031
1367,12.93
1368,12.869
1369,12.897
1370,12.964
1371,13.058
1372,13.104
1373,13.205
1374,13.293
1375,13.345
1376,13.415
1377,13.544
1378,13.678
1379,13.794
1380,13.879
1381,13.876
1382,13.794
1383,13.696
1384,13.626
1385,13.544
1386,13.486
1387,13.489
1388,13.489
1389,13.467
1390,13.397
1391,13.391
1392,13.44
1393,13.516
1394,13.599
1395,13.632
1396,13.675
1397,13.745
1398,13.763
1399,13.687
1400,13.617
1401,13.596
1402,13.574
1403,13.541
1404,13.461
1405,13.409
1406,13.412
1407,13.409
1408,13.361
1409,13.309
1410,13.205
1411,13.15
1412,13.098
1413,13.059
1414,13.077
1415,13.11
1416,13.147
1417,13.171
1418,13.242
1419,13.287
1420,13.272
1421,13.239
1422,13.211
1423,13.193
1424,13.22
1425,13.297
1426,13.351
1427,13.382
1428,13.397
1429,13.361
1430,13.235
1431,13.068
1432,12.891
1433,12.753
1434,12.704
1435,12.796
1436,12.997
1437,13.205
1438,13.33
1439,13.397
1440,13.419
1441,13.406
1442,13.33
1443,13.184
1444,12.97
1445,12.726
1446,12.509
1447,12.363
1448,12.323
1449,12.292
1450,12.335
1451,12.375
1452,12.369
1453,12.32
1454,12.305
1455,12.305
1456,12.347
1457,12.381
1458,12.393
1459,12.375
1460,12.256
1461,12.045
1462,11.804
1463,11.578
1464,11.392
1465,11.27
1466,11.172
1467,11.063
1468,10.937
1469,10.788
1470,10.629
1471,10.519
1472,10.382
1473,10.187
1474,10.016
1475,9.808
1476,9.582
1477,9.378
1478,9.073
1479,8.655
1480,8.331
1481,8.13
1482,8.084
1483,8.227
1484,8.401
1485,8.432
1486,8.346
1487,8.169
1488,7.937
1489,7.678
1490,7.431
1491,7.235
1492,7.077
1493,6.921
1494,6.811
1495,6.799
1496,6.836
1497,6.845
1498,6.753
1499,6.662
1500,6.646
1501,6.607
1502,6.43
1503,6.253
1504,6.161
1505,6.115
1506,6.054
1507,6.009
1508,6.039
1509,6.112
1510,6.204
1511,6.234
1512,6.115
1513,5.899
1514,5.67
1515,5.435
1516,5.206
1517,4.956
1518,4.678
1519,4.379
1520,4.168
1521,4.116
1522,4.156
1523,4.126
1524,4.007
1525,3.964
1526,3.866
1527,3.668
1528,3.524
1529,3.543
1530,3.646
1531,3.738
1532,3.839
1533,4.016
1534,4.083
1535,4.113
1536,4.22
1537,4.422
1538,4.705
1539,5.038
1540,5.438
1541,5.746
1542,5.954
1543,6.131
1544,6.32
1545,6.485
1546,6.43
1547,6.436
1548,6.469
1549,6.613
1550,6.802
1551,7.004
1552,7.312
1553,7.467
1554,7.409
1555,7.306
1556,7.266
1557,7.26
1558,7.123
1559,6.939
1560,6.839
1561,6.543
1562,6.238
1563,5.954
1564,5.725
1565,5.609
1566,5.594
1567,5.642
1568,5.664
1569,5.7
1570,5.768
1571,5.819
1572,5.957
1573,6.112
1574,6.158
1575,6.244
1576,6.372
1577,6.494
1578,6.61
1579,6.622
1580,6.57
1581,6.561
1582,6.604
1583,6.668
1584,6.82
1585,7.025
1586,7.15
1587,7.171
1588,7.171
1589,7.196
1590,7.229
1591,7.245
1592,7.278
1593,7.281
1594,7.284
1595,7.336
1596,7.422
1597,7.467
1598,7.367
1599,7.251
1600,7.165
1601,7.141
1602,7.095
1603,7.025
1604,6.875
1605,6.793
1606,6.805
1607,6.784
1608,6.646
1609,6.457
1610,6.323
1611,6.326
1612,6.674
1613,7.013
1614,7.33
1615,7.464
1616,7.58
1617,7.568
1618,7.464
1619,7.379
1620,7.315
1621,7.257
1622,7.19
1623,7.144
1624,7.162
1625,7.205
1626,7.235
1627,7.251
1628,7.251
1629,7.303
1630,7.394
1631,7.486
1632,7.55
1633,7.626
1634,7.745
1635,7.895
1636,8.121
1637,8.423
1638,8.783
1639,9.125
1640,9.445
1641,9.72
1642,9.976
1643,10.119
1644,10.18
1645,10.211
1646,10.235
1647,10.269
1648,10.315
1649,10.318
1650,10.287
1651,10.299
1652,10.315
1653,10.345
1654,10.379
1655,10.434
1656,10.51
1657,10.608
1658,10.684
1659,10.715
1660,10.733
1661,10.739
1662,10.739
1663,10.696
1664,10.605
1665,10.464
1666,10.4
1667,10.513
1668,10.864
1669,11.194
1670,11.261
1671,11.203
1672,11.218
1673,11.42
1674,11.737
1675,12.024
1676,12.32
1677,12.622
1678,12.811
1679,12.845
1680,12.753
1681,12.662
1682,12.54
1683,12.372
1684,12.283
1685,12.32
1686,12.491
1687,12.744
1688,12.979
1689,13.15
1690,13.235
1691,13.275
1692,13.257
1693,13.211
1694,13.168
1695,13.156
1696,13.18
1697,13.272
1698,13.4
1699,13.516
1700,13.626
1701,13.653
1702,13.663
1703,13.669
1704,13.599
1705,13.553
1706,13.504
1707,13.489
1708,13.403
1709,13.327
1710,13.315
1711,13.345
1712,13.385
1713,13.443
1714,13.48
1715,13.486
1716,13.528
1717,13.589
1718,13.589
1719,13.58
1720,13.596
1721,13.632
1722,13.611
1723,13.55
1724,13.498
1725,13.446
1726,13.382
1727,13.306
1728,13.19
1729,13.019
1730,12.9
1731,12.802
1732,12.796
1733,12.784
1734,12.775
1735,12.768
1736,12.775
1737,12.762
1738,12.747
1739,12.732
1740,12.747
1741,12.72
1742,12.695
1743,12.677
1744,12.653
1745,12.622
1746,12.598
1747,12.57
1748,12.503
1749,12.405
1750,12.329
1751,12.21
1752,12.128
1753,12.057
1754,11.999
1755,11.945
1756,11.908
1757,11.887
1758,11.838
1759,11.771
1760,11.728
1761,11.709
1762,11.706
1763,11.7
1764,11.67
1765,11.63
1766,11.572
1767,11.532
1768,11.502
1769,11.468
1770,11.42
1771,11.38
1772,11.349
1773,11.282
1774,11.203
1775,11.117
1776,11.032
1777,10.956
1778,10.87
1779,10.806
1780,10.715
1781,10.654
1782,10.586
1783,10.513
1784,10.443
1785,10.364
1786,10.272
1787,10.205
